Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,2020-08-30 11:33:39,false,"Nuremberg Carrera","5.00","367","00:26:10","152","165","3.3","173","178","5:14","4:01","19","23","1.11","0.0","0.0","0.0","0.0","0.0","26:10","0:00","19.0","0:00","No","00:55.22","4","0.0"
Running,2020-08-27 10:15:34,false,"Regensburg Carrera","2.22","152","00:12:18","139","158","2.1","169","179","5:32","4:31","14","7","1.07","0.0","0.0","0.0","0.0","0.0","12:18","0:00","23.0","0:00","No","03:09.67","2","0.0"
Running,2020-08-15 16:33:27,false,"Sint-Lambrechts-Woluwe Carrera","4.55","365","00:25:01","158","179","3.5","167","176","5:30","4:46","47","41","1.09","0.0","0.0","0.0","0.0","0.0","25:01","0:00","28.0","0:00","No","07:00.98","3","0.0"
Running,2020-08-07 22:12:44,false,"Etterbeek Carrera","3.05","218","00:15:11","153","189","3.1","170","178","4:58","4:15","11","9","1.18","0.0","0.0","0.0","0.0","0.0","15:11","0:00","28.0","0:00","No","07:22.62","2","0.0"
Running,2020-07-16 09:15:23,false,"Quebec Carrera","6.37","437","00:30:00","157","189","3.8","175","182","4:43","4:05","35","31","1.21","0.0","0.0","0.0","0.0","0.0","30:00","0:00","24.0","0:00","No","07:06.77","4","0.0"
Running,2020-07-15 08:47:03,false,"Quebec Carrera","3.00","193","00:13:44","148","161","2.7","173","180","4:35","4:16","5","3","1.26","0.0","0.0","0.0","0.0","0.0","13:44","0:00","25.0","0:00","No","06:19.60","2","0.0"
Indoor Running,2020-07-13 08:58:10,false,"Carrera en interiores","5.00","334","00:22:33","158","191","3.7","173","178","4:31","4:15","--","--","1.28","0.0","0.0","0.0","0.0","0.0","22:33","0:00","24.0","0:00","No","00:45.99","4","0.0"
Running,2020-07-08 20:23:40,false,"Quebec Carrera","10.00","751","00:45:38","171","196","5.0","175","182","4:34","3:48","28","28","1.25","0.0","0.0","0.0","0.0","0.0","45:38","0:00","27.0","0:00","No","01:22.04","7","0.0"
Running,2020-07-06 13:31:35,false,"Quebec Carrera","6.00","435","00:26:43","168","192","4.3","174","178","4:27","4:01","22","21","1.29","0.0","0.0","0.0","0.0","0.0","26:43","0:00","26.0","0:00","No","05:09.50","4","0.0"
Running,2020-07-03 10:23:27,true,"Quebec Carrera","3.00","222","00:13:40","170","190","3.3","172","188","4:33","3:38","15","5","1.28","0.0","0.0","0.0","0.0","0.0","13:40","0:00","29.0","0:00","No","06:04.43","2","0.0"
